,doi,forum,forum id,paper id,title,year,mendeley keywords,publication ids,mendeley id
17,10.1109/ASE.2019.00036,ASE,conf/kbse,conf/kbse/RahatFT19,OAUTHLINT - An Empirical Study on OAuth Bugs in Android Applications.,2019,"('Android', 'Bug Finding', 'OAuth', 'Security', 'Static Analysis')","(('sgr', '85078914786'), ('isbn', '9781728125084'), ('scopus', '2-s2.0-85078914786'), ('doi', '10.1109/ASE.2019.00036'), ('pui', '630811461'))",5cd6e710-d570-3aa1-a3d0-f916e58fa09b
18,10.1109/ASE.2019.00038,ASE,conf/kbse,conf/kbse/StepanovAB19,ReduKtor - How We Stopped Worrying About Bugs in Kotlin Compiler.,2019,"('Compiler testing', 'Delta debugging', 'Input reduction', 'Program fuzzing', 'Program slicing')","(('sgr', '85078878483'), ('isbn', '9781728125084'), ('scopus', '2-s2.0-85078878483'), ('doi', '10.1109/ASE.2019.00038'), ('arxiv', '1909.07331'), ('pui', '630811084'))",a8904c3c-736e-321b-8994-cfaab9fa8001
19,10.1109/ASE.2019.00143,ASE,conf/kbse,conf/kbse/Wu0C19,Better Development of Safety Critical Systems - Chinese High Speed Railway System Development Experience Report.,2019,"('Formal Method', 'Model-Driven', 'SAT', 'SysML')","(('isbn', '9781728125084'), ('scopus', '2-s2.0-85078901869'), ('pui', '630810956'), ('doi', '10.1109/ASE.2019.00143'), ('sgr', '85078901869'))",7d617bbf-ecb1-3cf2-9f1a-faf60959f054
20,10.1109/ASE.2019.00161,ASE,conf/kbse,conf/kbse/Yu19a,Crowdsourced Report Generation via Bug Screenshot Understanding.,2019,"('Bug Report Generation', 'Crowdsourced Testing', 'Mobile App Testing')","(('sgr', '85078906142'), ('isbn', '9781728125084'), ('scopus', '2-s2.0-85078906142'), ('doi', '10.1109/ASE.2019.00161'), ('pui', '630810977'))",0f7cc268-568a-36d2-9693-2ebb9a98e249
21,10.1145/3238147.3238186,ASE,conf/kbse,conf/kbse/Arora0IKR18,Replay without recording of production bugs for service oriented applications.,2018,"('Fault reproduction', 'Live debugging')","(('pui', '624953332'), ('sgr', '85056523679'), ('scopus', '2-s2.0-85056523679'), ('isbn', '9781450359375'), ('doi', '10.1145/3238147.3238186'))",66a1bd25-568e-3e74-be3f-35fdc467095b
22,10.1145/3238147.3240463,ASE,conf/kbse,conf/kbse/GafurovHM18,Achieving test automation with testers without coding skills - an industrial report.,2018,"('DSL for test automation', 'Helsenorge', 'Keyword-driven test automation', 'Process-driven test automation', 'Test automation')","(('sgr', '85056528902'), ('isbn', '9781450359375'), ('scopus', '2-s2.0-85056528902'), ('doi', '10.1145/3238147.3240463'), ('pui', '624952946'))",a45f1c09-6094-376d-99b4-c12712b49926
23,10.1145/3238147.3238213,ASE,conf/kbse,conf/kbse/HabibP18a,How many of all bugs do we find? a study of static bug detectors.,2018,"('Bug finding', 'Defects4J', 'Static analysis', 'Static bug checkers')","(('sgr', '85056492801'), ('isbn', '9781450359375'), ('scopus', '2-s2.0-85056492801'), ('doi', '10.1145/3238147.3238213'), ('pui', '624953321'))",b04e3f96-b943-3fa7-81d7-c4695316676c
24,10.1145/3238147.3238204,ASE,conf/kbse,conf/kbse/HanYL18,PerfLearner - learning from bug reports to understand and generate performance test frames.,2018,"('Performance bugs', 'Software mining', 'Software testing')","(('sgr', '85056500372'), ('isbn', '9781450359375'), ('scopus', '2-s2.0-85056500372'), ('doi', '10.1145/3238147.3238204'), ('pui', '624953237'))",f3da5841-15c4-3f9b-ba39-ba0a355924b3
25,10.1145/3238147.3238180,ASE,conf/kbse,conf/kbse/HuWLCH18,A tale of two cities - how WebView induces bugs to Android applications.,2018,"('Android system WebView', 'Empirical study', 'GUI testing')","(('sgr', '85056516458'), ('isbn', '9781450359375'), ('scopus', '2-s2.0-85056516458'), ('doi', '10.1145/3238147.3238180'), ('pui', '624953318'))",f7836070-3740-3dcd-85f4-8634bcb002d8
26,10.1145/3238147.3238176,ASE,conf/kbse,conf/kbse/LemieuxS18,FairFuzz - a targeted mutation strategy for increasing greybox fuzz testing coverage.,2018,"('Coverage-guided greybox fuzzing', 'Fuzz testing', 'Rare branches')","(('pui', '624953276'), ('scopus', '2-s2.0-85056558814'), ('sgr', '85056558814'), ('isbn', '9781450359375'), ('doi', '10.1145/3238147.3238176'))",61a22876-8db6-3dd7-836d-2c8cf41b4103
27,10.1145/3238147.3238163,ASE,conf/kbse,conf/kbse/Lin0TBWD18,Break the dead end of dynamic slicing - localizing data and control omission bug.,2018,"('Debugging', 'Empirical study', 'Omission error', 'Program slice')","(('pui', '624953330'), ('scopus', '2-s2.0-85056498267'), ('sgr', '85056498267'), ('isbn', '9781450359375'), ('doi', '10.1145/3238147.3238163'))",02a38e54-b69a-3b4b-a91e-52ef0030e757
28,10.1145/3238147.3238198,ASE,conf/kbse,conf/kbse/LinWLSZW18,PFix - fixing concurrency bugs based on memory access patterns.,2018,"('Automatic fixing', 'Concurrency bugs', 'Locking policy', 'Memory-access pattern', 'Multi-threading')","(('isbn', '9781450359375'), ('scopus', '2-s2.0-85056547559'), ('pui', '624953043'), ('doi', '10.1145/3238147.3238198'), ('sgr', '85056547559'))",4ba60213-707d-3403-903a-1ec948e74b02
29,10.1145/3238147.3240732,ASE,conf/kbse,conf/kbse/TufanoWBPWP18,An empirical investigation into learning bug-fixing patches in the wild via neural machine translation.,2018,"('Bug-fixes', 'Neural machine translation')","(('isbn', '9781450359375'), ('scopus', '2-s2.0-85056518629'), ('pui', '624953116'), ('doi', '10.1145/3238147.3240732'), ('sgr', '85056518629'))",19e636a3-8caf-3018-9409-d8a7c30abf99
30,10.1145/3238147.3240730,ASE,conf/kbse,conf/kbse/ZhouPX0LJD18,Delta debugging microservice systems.,2018,"('Delta Debugging', 'Microservice', 'Testing')","(('isbn', '9781450359375'), ('scopus', '2-s2.0-85056537506'), ('pui', '624953100'), ('doi', '10.1145/3238147.3240730'), ('sgr', '85056537506'))",1f23dc0e-2916-3f7f-9ec0-dac2bdf2a377
31,10.1109/ASE.2017.8115633,ASE,conf/kbse,conf/kbse/CastanoBGU17,Model checker execution reports.,2017,(),"(('isbn', '9781538626849'), ('scopus', '2-s2.0-85041444655'), ('pui', '620554623'), ('doi', '10.1109/ASE.2017.8115633'), ('sgr', '85041444655'))",d3e00968-6f21-32e1-9b80-ed122e0ade66
32,10.1109/ASE.2017.8115662,ASE,conf/kbse,conf/kbse/FrancoGR17,A comprehensive study of real-world numerical bug characteristics.,2017,(),"(('isbn', '9781538626849'), ('scopus', '2-s2.0-85041435266'), ('pui', '620554294'), ('doi', '10.1109/ASE.2017.8115662'), ('sgr', '85041435266'))",85f7056a-3169-3789-b1cf-de15003ef747
33,10.1109/ASE.2017.8115686,ASE,conf/kbse,conf/kbse/NguyenS0TP17,Parallel bug-finding in concurrent programs via reduced interleaving instances.,2017,"('Verification', 'concurrency', 'sequentialization', 'swarm verification')","(('pui', '620554625'), ('sgr', '85041433770'), ('scopus', '2-s2.0-85041433770'), ('issn', '0928-8910'), ('isbn', '9781538626849'), ('doi', '10.1109/ASE.2017.8115686'))",bf89c78f-6d30-337e-adc2-233275ef1078
34,10.1109/ASE.2017.8115720,ASE,conf/kbse,conf/kbse/Wang17,Characterizing and taming non-deterministic bugs in JavaScript applications.,2017,"('JavaScript', 'Node.js', 'bug detection', 'empirical study', 'non-deterministic bug', 'record and replay')","(('isbn', '9781538626849'), ('scopus', '2-s2.0-85041439849'), ('pui', '620554402'), ('doi', '10.1109/ASE.2017.8115720'), ('sgr', '85041439849'))",ed02788d-3a1c-3558-9ee9-cd68cd93d1a5
35,10.1109/ASE.2017.8115663,ASE,conf/kbse,conf/kbse/WangDGGQYW17,A comprehensive study on real world concurrency bugs in Node.js.,2017,"('JavaScript', 'Node.js', 'concurrency bug', 'empirical study', 'event-driven')","(('isbn', '9781538626849'), ('scopus', '2-s2.0-85041451754'), ('pui', '620554316'), ('doi', '10.1109/ASE.2017.8115663'), ('sgr', '85041451754'))",54fb863d-3a56-3d52-bdba-b1e3001fd0ae
36,10.1145/2970276.2970292,ASE,conf/kbse,conf/kbse/0002HB16a,The interactive verification debugger - effective understanding of interactive proof attempts.,2016,"('Debugging', 'Program Execution Visualization', 'Proof Understanding', 'Symbolic Execution', 'Verification')","(('sgr', '84989170632'), ('isbn', '9781450338455'), ('scopus', '2-s2.0-84989170632'), ('doi', '10.1145/2970276.2970292'), ('pui', '612460427'))",cf6194c3-a6f5-3763-8fb1-2832d5ca52c9
37,10.1145/2970276.2970344,ASE,conf/kbse,conf/kbse/AlmhanaMK016,Recommending relevant classes for bug reports using multi-objective search.,2016,"('Bug reports', 'Multi-objective optimization', 'Search-based software engineering', 'Software maintenance')","(('pui', '612460440'), ('sgr', '84989183270'), ('scopus', '2-s2.0-84989183270'), ('isbn', '9781450338455'), ('doi', '10.1145/2970276.2970344'))",de12aa06-98a6-3c0e-a9e5-f250d20d037b
38,10.1145/2975954.2975958,SCTDCP@ASE,conf/kbse,conf/kbse/AsadollahSESH16,A model for systematic monitoring and debugging of starvation bugs in multicore software.,2016,"('Concurrency bugs', 'Concurrent program', 'Debugging', 'Monitoring', 'Multicore software', 'Parallel application', 'Starvation bug')","(('sgr', '85054810213'), ('isbn', '9781450345101'), ('scopus', '2-s2.0-85054810213'), ('doi', '10.1145/2975954.2975958'), ('pui', '624294064'))",c91638c5-c976-3f17-9d22-9c97915016b1
39,10.1145/2970276.2970350,ASE,conf/kbse,conf/kbse/BocicB16,Finding access control bugs in web applications with CanCheck.,2016,"('Access Control', 'Logic-based Verification', 'Web Applications')","(('isbn', '9781450338455'), ('scopus', '2-s2.0-84989184744'), ('pui', '612460378'), ('doi', '10.1145/2970276.2970350'), ('sgr', '84989184744'))",e9f55783-a55d-30de-8973-4208dbdca07c
40,10.1145/2970276.2970367,ASE,conf/kbse,conf/kbse/FengJCF16,Multi-objective test report prioritization using image understanding.,2016,"('Crowdsourced Testing', 'Image Understanding', 'Multi-Objective Optimization', 'Test Report Prioritization')","(('pui', '612460404'), ('sgr', '84989203101'), ('scopus', '2-s2.0-84989203101'), ('isbn', '9781450338455'), ('doi', '10.1145/2970276.2970367'))",17a4cb1d-848e-3065-a7b3-bbacb78ea399
41,10.1145/2970276.2970356,ASE,conf/kbse,conf/kbse/LegunsenHXRM16,How good are the specs? a study of the bug-finding effectiveness of existing Java API specifications.,2016,"('Empirical study', 'Runtime verification', 'Specification quality')","(('isbn', '9781450338455'), ('scopus', '2-s2.0-84989172598'), ('pui', '612460286'), ('doi', '10.1145/2970276.2970356'), ('sgr', '84989172598'))",ca3d6714-1697-3ea3-9e46-db636aedc153
42,10.1145/2970276.2970320,ASE,conf/kbse,conf/kbse/TangWWZ16,Generating test cases to expose concurrency bugs in Android applications.,2016,"('Android', 'Data race', 'Mobile application', 'Record/replay', 'Testing')","(('pui', '612460308'), ('sgr', '84989180792'), ('scopus', '2-s2.0-84989180792'), ('isbn', '9781450338455'), ('doi', '10.1145/2970276.2970320'))",20db1b10-f16a-3e7d-bc07-6d1630d16f09
43,10.1145/2970276.2970341,ASE,conf/kbse,conf/kbse/WangCMT16,Bugram - bug detection with n-gram language models.,2016,"('Bug Detection', 'N-gram Language Model', 'Static Code Analysis')","(('sgr', '84989179964'), ('isbn', '9781450338455'), ('scopus', '2-s2.0-84989179964'), ('doi', '10.1145/2970276.2970341'), ('pui', '612460356'))",b47c1ee3-80d1-3ecc-b537-44b8bdcf747d
44,10.1145/2970276.2970300,ASE,conf/kbse,conf/kbse/WangWCW16,Local-based active classification of test report to assist crowdsourced testing.,2016,"('Active Learning', 'Crowdsourced Testing', 'Test Report Classification')","(('sgr', '84989154013'), ('isbn', '9781450338455'), ('scopus', '2-s2.0-84989154013'), ('doi', '10.1145/2970276.2970300'), ('pui', '612460396'))",6bacaad2-25c1-393a-a190-860c29690599
45,10.1145/2970276.2970359,ASE,conf/kbse,conf/kbse/WenWC16,Locus - locating bugs from software changes.,2016,"('Bug localization', 'Information retrieval', 'Software analytics', 'Software changes')","(('pui', '612460423'), ('scopus', '2-s2.0-84989193436'), ('sgr', '84989193436'), ('isbn', '9781450338455'), ('doi', '10.1145/2970276.2970359'))",4781eae5-9c93-348c-95bc-61827d4a6bae
46,10.1145/2975954,SCTDCP@ASE,conf/kbse,conf/kbse/2016sctdcp,"Proceedings of the 1st International Workshop on Specification, Comprehension, Testing, and Debugging of Concurrent Programs, SCTDCP@ASE 2016, Singapore, Singapore, September 3, 2016",2016,,,
47,10.1109/ASE.2015.30,ASE,conf/kbse,conf/kbse/DeligiannisDR15,Fast and Precise Symbolic Analysis of Concurrency Bugs in Device Drivers (T).,2015,(),"(('sgr', '84963830565'), ('isbn', '9781509000241'), ('scopus', '2-s2.0-84963830565'), ('doi', '10.1109/ASE.2015.30'), ('pui', '609993383'))",ea83b664-985a-3d52-bded-d1cb5d5ca76e
48,10.1109/ASE.2015.81,ASE,conf/kbse,conf/kbse/GaoZWXZM15,Fixing Recurring Crash Bugs via Analyzing Q&amp;A Sites (T).,2015,(),"(('sgr', '84963852339'), ('isbn', '9781509000241'), ('scopus', '2-s2.0-84963852339'), ('doi', '10.1109/ASE.2015.81'), ('pui', '609993397'))",abf4e11a-9a9d-339f-a84f-8fbafbca4df8
49,10.1109/ASE.2015.14,ASE,conf/kbse,conf/kbse/HongLKJKKK15,Mutation-Based Fault Localization for Real-World Multilingual Programs (T).,2015,"('Debugging', 'Fault Localization', 'Multilingual Programs', 'Mutation Analysis', 'Mutation Based Fault Localization')","(('sgr', '84963836318'), ('isbn', '9781509000241'), ('scopus', '2-s2.0-84963836318'), ('doi', '10.1109/ASE.2015.14'), ('pui', '609993413'))",683f87ef-c485-3b87-811f-39a9af04a40d
50,10.1109/ASE.2015.73,ASE,conf/kbse,conf/kbse/LamNNN15,Combining Deep Learning with Information Retrieval to Localize Buggy Files for Bug Reports (N).,2015,"('Bug Localization', 'Bug Reports', 'Deep Learning', 'Deep Neural Network', 'Information Retrieval')","(('pui', '609993376'), ('scopus', '2-s2.0-84963795380'), ('sgr', '84963795380'), ('isbn', '9781509000241'), ('doi', '10.1109/ASE.2015.73'))",f9c87663-5981-3d4c-9a9e-d32304940029
51,10.1109/ASE.2015.87,ASE,conf/kbse,conf/kbse/LinMZCZ15,JaConTeBe - A Benchmark Suite of Real-World Java Concurrency Bugs (T).,2015,"('Benchmark suite', 'Evaluations', 'JaConTeBe', 'Java concurrency bugs', 'SIR')","(('sgr', '84963808718'), ('isbn', '9781509000241'), ('scopus', '2-s2.0-84963808718'), ('doi', '10.1109/ASE.2015.87'), ('pui', '609993330'))",e23e0baa-9385-38e6-8938-296c778c79c5
52,10.1109/ASE.2015.35,ASE,conf/kbse,conf/kbse/WolflSAKKW15,Generating Qualifiable Avionics Software - An Experience Report (E).,2015,(),"(('isbn', '9781509000241'), ('scopus', '2-s2.0-84963811411'), ('pui', '609993382'), ('doi', '10.1109/ASE.2015.35'), ('sgr', '84963811411'))",ea8b6fbb-c0b0-3b76-825b-6bd0670d4259
53,10.1145/2642937.2642990,ASE,conf/kbse,conf/kbse/AbalBW14,42 variability bugs in the linux kernel - a qualitative analysis.,2014,"('Bugs', 'Feature interactions', 'Linux', 'Software variability')","(('sgr', '84908635167'), ('isbn', '9781450330138'), ('scopus', '2-s2.0-84908635167'), ('doi', '10.1145/2642937.2642990'), ('pui', '600388321'))",0c081956-1e8a-322f-a138-495027f08f0e
54,10.1145/2642937.2653469,ASE,conf/kbse,conf/kbse/Borg14,Embrace your issues - compassing the software engineering landscape using bug reports.,2014,"('Information retrieval', 'Issue management', 'Machine learning', 'Recommendation systems')","(('isbn', '9781450330138'), ('scopus', '2-s2.0-84908627868'), ('pui', '600388317'), ('doi', '10.1145/2642937.2653469'), ('sgr', '84908627868'))",033a341f-0811-34a3-ae95-330d4ab91052
55,10.1145/2642937.2642997,ASE,conf/kbse,conf/kbse/KochharTL14,Potential biases in bug localization - do they matter?,2014,"('Bias', 'Bug localization', 'Empirical study', 'Issue reports')","(('isbn', '9781450330138'), ('scopus', '2-s2.0-84908653194'), ('pui', '600388287'), ('doi', '10.1145/2642937.2642997'), ('sgr', '84908653194'))",44210586-5702-390e-bb67-225827ea3792
56,10.1145/2642937.2642939,ASE,conf/kbse,conf/kbse/SeguraSC14,Automated variability analysis and testing of an E-commerce site. - an experience report.,2014,"('Automated testing', 'E-commerce', 'Experience report', 'Feature modelling', 'Variability')","(('sgr', '84908626279'), ('isbn', '9781450330138'), ('scopus', '2-s2.0-84908626279'), ('doi', '10.1145/2642937.2642939'), ('pui', '600388246'))",91752a0a-b40e-3a7b-9753-ab1d6b4abf99
57,10.1145/2642937.2648627,ASE,conf/kbse,conf/kbse/ThungKL14,DupFinder - integrated tool support for duplicate bug report detection.,2014,"('Bugzilla', 'Duplicate bug reports', 'Integrated tool support')","(('isbn', '9781450330138'), ('scopus', '2-s2.0-84908618742'), ('pui', '600388309'), ('doi', '10.1145/2642937.2648627'), ('sgr', '84908618742'))",fbf4b7ee-3342-3656-9398-d7c270ac53b6
58,10.1145/2642937.2642972,ASE,conf/kbse,conf/kbse/WangWWYSYLFG14,Localization of concurrency bugs using shared memory access pairs.,2014,"('Concurrency bug', 'Localization', 'Shared memory access pair')","(('pui', '600388236'), ('sgr', '84908655624'), ('scopus', '2-s2.0-84908655624'), ('isbn', '9781450330138'), ('doi', '10.1145/2642937.2642972'))",13ca5f33-48cd-38fe-8052-7f8b89c4770f
59,10.1145/2642937.2643014,ASE,conf/kbse,conf/kbse/ZuddasJPMO14,MIMIC - locating and understanding bugs by analyzing mimicked executions.,2014,"('Anomaly detection', 'Debugging', 'Execution synthesis')","(('pui', '600388288'), ('sgr', '84908611346'), ('scopus', '2-s2.0-84908611346'), ('isbn', '9781450330138'), ('doi', '10.1145/2642937.2643014'))",b0ee52a0-880d-36d8-9aa0-63fd0b65206b
60,10.1109/ASE.2013.6693085,ASE,conf/kbse,conf/kbse/CamposAFd13,Entropy-based test generation for improved fault localization.,2013,"('Fault localization', 'Test case generation')","(('sgr', '84893528180'), ('isbn', '9781479902156'), ('scopus', '2-s2.0-84893528180'), ('doi', '10.1109/ASE.2013.6693085'), ('pui', '372305664'))",2a7f2723-fd19-3d33-92dd-ce10a735f4bc
61,10.1109/ASE.2013.6693105,ASE,conf/kbse,conf/kbse/LouLDFZX13,Software analytics for incident management of online services - An experience report.,2013,"('Online service', 'incident management', 'service incident diagnosis')","(('isbn', '9781479902156'), ('scopus', '2-s2.0-84893540464'), ('pui', '372305684'), ('doi', '10.1109/ASE.2013.6693105'), ('sgr', '84893540464'))",7c0cd2be-a06e-302e-a378-6381fd983418
62,10.1109/ASE.2013.6693096,ASE,conf/kbse,conf/kbse/OhmannL13,Lightweight control-flow instrumentation and postmortem analysis in support of debugging.,2013,(),"(('isbn', '9781479902156'), ('scopus', '2-s2.0-84893574886'), ('pui', '372305675'), ('doi', '10.1109/ASE.2013.6693096'), ('sgr', '84893574886'))",daa16303-dee2-35fc-8c01-81ac2c54ff7a
63,10.1109/ASE.2013.6693125,ASE,conf/kbse,conf/kbse/SagdeoEPV13,Using automatically generated invariants for regression testing and bug localization.,2013,(),"(('isbn', '9781479902156'), ('scopus', '2-s2.0-84893618931'), ('pui', '372305704'), ('doi', '10.1109/ASE.2013.6693125'), ('sgr', '84893618931'))",1c80ee51-1efb-3b85-bb73-25c15567f706
64,10.1109/ASE.2013.6693093,ASE,conf/kbse,conf/kbse/SahaLKP13,Improving bug localization using structured information retrieval.,2013,"('Bug localization', 'information retrieval', 'search')","(('sgr', '84893534431'), ('isbn', '9781479902156'), ('scopus', '2-s2.0-84893534431'), ('doi', '10.1109/ASE.2013.6693093'), ('pui', '372305672'))",f0f2d0e9-b7d8-32ff-815e-d25790be43f8
65,10.1109/ASE.2013.6693150,ASE,conf/kbse,conf/kbse/Servant13,Supporting bug investigation using history analysis.,2013,(),"(('pui', '372305729'), ('sgr', '84893578605'), ('scopus', '2-s2.0-84893578605'), ('isbn', '9781479902156'), ('doi', '10.1109/ASE.2013.6693150'))",8bb0d5e1-2d0a-3bc1-892d-30114d6f25eb
